城市,岗位名称,公司名称,薪资,地点
上海,资深Python后端开发工程师,长沙易出发科技有限公司,2-2.3万·13薪,上海·浦东新区
上海,python开发工程师,上海塑盛电子商务有限公司,1.2-1.4万·13薪,上海
上海,Python开发工程师,上海鑫测信息技术有限公司,1.8-3.5万,上海·浦东新区
上海,AI应用开发工程师,上海杨浦区华智进修学校,2.3-3万,上海·杨浦区
上海,Python高级工程师,上海天战信息科技有限公司,1.5-2.5万·13薪,上海·青浦区
上海,python开发工程师,上海速强信息技术有限公司,8千-1.2万,上海·浦东新区
上海,AI 大模型应用开发工程师,台州拜亚进出口有限公司,1.5-2.5万,上海·徐汇区
上海,金融创新部-开发岗(J16637),国金证券股份有限公司,1.2-1.5万·20薪,上海
深圳,python运维开发工程师,中软国际科技服务有限公司,1.3-1.6万,深圳·南山区
深圳,数据开发工程师（数据治理方向）,深圳市鲜语运营管理有限公司,1.2-1.6万,深圳·南山区
深圳,Python开发,深圳市紫川软件有限公司,1.3-1.5万,深圳·福田区
深圳,python开发工程师,深圳铸泰科技有限公司,1.5-3万·13薪,深圳·南山区
深圳,python开发工程师,奇宏电子（深圳）有限公司,1.5-1.8万,深圳·宝安区
深圳,python开发工程师/python爬虫方向,深圳市猎芯科技有限公司,1.4-2.5万,深圳·龙岗区
深圳,Python开发工程师,深圳市联华世纪通信技术有限公司,1-2万·13薪,深圳·龙华区
深圳,python工程师,深圳市网新新思软件有限公司,1.2-1.5万,深圳·南山区
深圳,中级Python开发工程师,蓝网科技股份有限公司,1.5-2万·14薪,深圳
深圳,python开发工程师,广东华际友天信息科技有限公司,1.2-1.8万·13薪,深圳·罗湖区
深圳,Python开发工程师,深圳市达博威科技有限公司,1-1.5万,深圳·福田区
深圳,Python开发工程师,金地（集团）股份有限公司,1.2-2万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1-1.5万,深圳·福田区
深圳,python开发-全额公积金-双休,深圳市法本信息技术股份有限公司,1.5-2万,深圳·龙岗区
深圳,python开发工程师,深圳市紫川软件有限公司,1.3-1.6万,深圳·福田区
深圳,3D打印软件工程,深圳西可实业有限公司,2-3.5万,深圳·光明区
深圳,python工程师,深圳市紫川软件有限公司,9.5千-1.3万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1.1-1.4万,深圳·福田区
深圳,AI应用工程师(A226668),深圳闻储创新科技有限公司,1.5-2.5万·14薪,深圳·龙岗区
深圳,高级python开发工程师,深圳市普洛西科技有限公司,2-3万,深圳
深圳,python运维开发工程师,中软国际科技服务有限公司,1.3-1.6万,深圳·南山区
深圳,数据开发工程师（数据治理方向）,深圳市鲜语运营管理有限公司,1.2-1.6万,深圳·南山区
深圳,Python开发,深圳市紫川软件有限公司,1.3-1.5万,深圳·福田区
深圳,python开发工程师,深圳铸泰科技有限公司,1.5-3万·13薪,深圳·南山区
深圳,python开发工程师,奇宏电子（深圳）有限公司,1.5-1.8万,深圳·宝安区
深圳,python开发工程师/python爬虫方向,深圳市猎芯科技有限公司,1.4-2.5万,深圳·龙岗区
深圳,Python开发工程师,深圳市联华世纪通信技术有限公司,1-2万·13薪,深圳·龙华区
深圳,python工程师,深圳市网新新思软件有限公司,1.2-1.5万,深圳·南山区
深圳,中级Python开发工程师,蓝网科技股份有限公司,1.5-2万·14薪,深圳
深圳,python开发工程师,广东华际友天信息科技有限公司,1.2-1.8万·13薪,深圳·罗湖区
深圳,Python开发工程师,深圳市达博威科技有限公司,1-1.5万,深圳·福田区
深圳,Python开发工程师,金地（集团）股份有限公司,1.2-2万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1-1.5万,深圳·福田区
深圳,python开发-全额公积金-双休,深圳市法本信息技术股份有限公司,1.5-2万,深圳·龙岗区
深圳,python开发工程师,深圳市紫川软件有限公司,1.3-1.6万,深圳·福田区
深圳,3D打印软件工程,深圳西可实业有限公司,2-3.5万,深圳·光明区
深圳,python工程师,深圳市紫川软件有限公司,9.5千-1.3万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1.1-1.4万,深圳·福田区
深圳,AI应用工程师(A226668),深圳闻储创新科技有限公司,1.5-2.5万·14薪,深圳·龙岗区
深圳,高级python开发工程师,深圳市普洛西科技有限公司,2-3万,深圳
深圳,python运维开发工程师,中软国际科技服务有限公司,1.3-1.6万,深圳·南山区
深圳,数据开发工程师（数据治理方向）,深圳市鲜语运营管理有限公司,1.2-1.6万,深圳·南山区
深圳,Python开发,深圳市紫川软件有限公司,1.3-1.5万,深圳·福田区
深圳,python开发工程师,深圳铸泰科技有限公司,1.5-3万·13薪,深圳·南山区
深圳,python开发工程师,奇宏电子（深圳）有限公司,1.5-1.8万,深圳·宝安区
深圳,python开发工程师/python爬虫方向,深圳市猎芯科技有限公司,1.4-2.5万,深圳·龙岗区
深圳,Python开发工程师,深圳市联华世纪通信技术有限公司,1-2万·13薪,深圳·龙华区
深圳,python工程师,深圳市网新新思软件有限公司,1.2-1.5万,深圳·南山区
深圳,中级Python开发工程师,蓝网科技股份有限公司,1.5-2万·14薪,深圳
深圳,python开发工程师,广东华际友天信息科技有限公司,1.2-1.8万·13薪,深圳·罗湖区
深圳,Python开发工程师,深圳市达博威科技有限公司,1-1.5万,深圳·福田区
深圳,Python开发工程师,金地（集团）股份有限公司,1.2-2万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1-1.5万,深圳·福田区
深圳,python开发-全额公积金-双休,深圳市法本信息技术股份有限公司,1.5-2万,深圳·龙岗区
深圳,python开发工程师,深圳市紫川软件有限公司,1.3-1.6万,深圳·福田区
深圳,3D打印软件工程,深圳西可实业有限公司,2-3.5万,深圳·光明区
深圳,python工程师,深圳市紫川软件有限公司,9.5千-1.3万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1.1-1.4万,深圳·福田区
深圳,AI应用工程师(A226668),深圳闻储创新科技有限公司,1.5-2.5万·14薪,深圳·龙岗区
深圳,高级python开发工程师,深圳市普洛西科技有限公司,2-3万,深圳
深圳,python运维开发工程师,中软国际科技服务有限公司,1.3-1.6万,深圳·南山区
深圳,数据开发工程师（数据治理方向）,深圳市鲜语运营管理有限公司,1.2-1.6万,深圳·南山区
深圳,Python开发,深圳市紫川软件有限公司,1.3-1.5万,深圳·福田区
深圳,python开发工程师,深圳铸泰科技有限公司,1.5-3万·13薪,深圳·南山区
深圳,python开发工程师,奇宏电子（深圳）有限公司,1.5-1.8万,深圳·宝安区
深圳,python开发工程师/python爬虫方向,深圳市猎芯科技有限公司,1.4-2.5万,深圳·龙岗区
深圳,Python开发工程师,深圳市联华世纪通信技术有限公司,1-2万·13薪,深圳·龙华区
深圳,python工程师,深圳市网新新思软件有限公司,1.2-1.5万,深圳·南山区
深圳,中级Python开发工程师,蓝网科技股份有限公司,1.5-2万·14薪,深圳
深圳,python开发工程师,广东华际友天信息科技有限公司,1.2-1.8万·13薪,深圳·罗湖区
深圳,Python开发工程师,深圳市达博威科技有限公司,1-1.5万,深圳·福田区
深圳,Python开发工程师,金地（集团）股份有限公司,1.2-2万,深圳·福田区
深圳,python开发工程师,深圳市紫川软件有限公司,1-1.5万,深圳·福田区
深圳,python开发-全额公积金-双休,深圳市法本信息技术股份有限公司,1.5-2万,深圳·龙岗区
深圳,python开发工程师,深圳市紫川软件有限公司,1.3-1.6万,深圳·福田区
深圳,3D打印软件工程,深圳西可实业有限公司,2-3.5万,深圳·光明区
